"ID","Outlook","Temperature","Humidity","Windy","Play"
"a","sunny","hot","high","no","no"
"b","sunny","hot","high","yes","no"
"c","overcast","hot","high","no","yes"
"d","rainy","mild","high","no","yes"
"e","rainy","cool","normal","no","yes"
"f","rainy","cool","normal","yes","no"
"g","overcast","cool","normal","yes","yes"
"h","sunny","mild","high","no","no"
"i","sunny","cool","normal","no","yes"
"j","rainy","mild","normal","no","yes"
"k","sunny","mild","normal","yes","yes"
"l","overcast","mild","high","yes","yes"
"m","overcast","hot","normal","no","yes"
"n","rainy","mild","high","yes","no"
